incident_month,incident_year,victim_injury,state,location,site_category,shark_common_name,shark_identification_method,shark_length_m,basis_for_length,provoked_unprovoked,no_sharks,victim_activity,commercial_dive_activity,object_of_bite,present_at_time_of_bite,direction_first_strike,shark_behaviour,victim_aware_of_shark,shark_captured,injury_location,injury_severity,victim_gender,victim_age,dominant_clothing_colour,fin_colour,diversionary_action_taken,diversionary_action_outcome,people_lt_3m,people_3-15m,time_of_incident,depth_of_incident_m,teeth_recovered,time_in_water_min,water_temperature_°c,total_water_depth_m,water_visability_m,distance_to_shore_m,tidal_cycle,wind_condition,weather_condition,air_temperature_°c,personal_protective_device
11,1993,fatal,wa,"broome, roebuck bay",coastal,tiger shark,direct observation,4.0,other: measured captured shark,provoked,1.0,diving,y,unknown,unknown,unknown,bit victim,n,y,unknown,major lacerations,male,28.0,unknown,unknown,unknown,unknown,-1.0,-1.0,1600.0,8.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
12,1993,uninjured,qld,"rockhampton, farnborough beach",coastal,whaler shark,"shark behaviour, geographical location, direct observation",2.0,witness/victim,unprovoked,1.0,boarding,unknown,unknown,baitfish,unknown,grazed victim w/skin,y,unknown,other: uninjured,unknown,male,13.0,unknown,unknown,unknown,unknown,-1.0,2.0,-1.0,1.0,unknown,5.0,-1.0,2.0,-1.0,30.0,unknown,unknown,unknown,-1.0,unknown
1,1994,injured,qld,"brisbane river, karana downs reach",river,bull shark,"bite analysis, shark behaviour, geographical location, direct observation",1.5,witness/victim,unprovoked,1.0,swimming,unknown,unknown,boarding,behind,bit victim on leg - thigh,n,unknown,thigh,minor lacerations,male,22.0,black,unknown,pushed at shark,unknown,-1.0,-1.0,1330.0,0.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,windy,unknown,-1.0,unknown
1,1994,injured,qld,"gold coast, nerang river buds beach (canal)",river,bull shark,"bite analysis, shark behaviour, geographical location, direct observation",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,unknown,right,bit victim on leg,n,unknown,foot,minor lacerations,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
2,1994,injured,sa,"stinky bay, nora creina",coastal,wobbegong,"bite analysis, shark behaviour",1.6,witness/victim,provoked,1.0,fishing,unknown,unknown,"catch, baitfish",unknown,bit victim on foot,y,unknown,foot,other: teeth marks,male,39.0,unknown,unknown,unknown,unknown,-1.0,-1.0,2000.0,1.0,unknown,-1.0,-1.0,-1.0,-1.0,10.0,unknown,unknown,unknown,-1.0,unknown
4,1994,injured,qld,"gold coast, broadbeach, surfers paradise",coastal,whaler shark,"bite analysis, shark behaviour",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,unknown,in front,bit hand,n,unknown,"arm, hand",other: teeth marks,female,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,945.0,1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
11,1994,injured,vic,"port phillip bay, mornington pier",coastal,wobbegong,direct observation,3.0,witness/victim,provoked,1.0,diving,unknown,unknown,unknown,behind,bit victim on body,n,unknown,torso,other: teeth marks,male,23.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,9.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
2,1995,uninjured,vic,"phillip island, the nobbies",island open ocean,broadnose sevengill shark,direct observation,2.6,witness/victim,provoked,1.0,diving,unknown,unknown,"catch, scuba diving, other sealife (pinniped/s)",below,swam towards victim,y,unknown,unknown,unknown,male,34.0,black,green,hit shark on nose,unknown,-1.0,10.0,730.0,10.0,unknown,20.0,-1.0,-1.0,5.0,100.0,unknown,unknown,unknown,-1.0,knife
2,1995,injured,sa,"port elliot, boomer beach",coastal,wobbegong,"bite analysis, shark behaviour, geographical location, direct observation",-1.0,unknown,unprovoked,1.0,boarding,unknown,unknown,unknown,below,bit victim on foot,n,unknown,foot,other: teeth marks,male,14.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
3,1995,injured,sa,"ceduna, cactus beach",coastal,white shark,"bite analysis, shark behaviour, geographical location, direct observation",2.0,witness/victim,unprovoked,1.0,boarding,unknown,unknown,baitfish,below,bit victim on arm,y,unknown,arm,minor lacerations,male,35.0,unknown,unknown,pushed board into mouth,unknown,-1.0,-1.0,730.0,0.0,y,-1.0,-1.0,-1.0,-1.0,150.0,unknown,unknown,unknown,-1.0,unknown
3,1995,uninjured,nsw,"sydney harbour, clark island",estuary/harbour,bull shark,"shark behaviour, geographical location, direct observation",2.5,witness/victim,unprovoked,1.0,boarding,unknown,board,unknown,unknown,knocked victim off board,y,unknown,other: uninjured,unknown,female,29.0,unknown,unknown,unknown,unknown,-1.0,-1.0,700.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
