incident_month,incident_year,victim_injury,state,location,site_category,shark_common_name,shark_identification_method,shark_length_m,basis_for_length,provoked_unprovoked,no_sharks,victim_activity,commercial_dive_activity,object_of_bite,present_at_time_of_bite,direction_first_strike,shark_behaviour,victim_aware_of_shark,shark_captured,injury_location,injury_severity,victim_gender,victim_age,dominant_clothing_colour,fin_colour,diversionary_action_taken,diversionary_action_outcome,people_lt_3m,people_3-15m,time_of_incident,depth_of_incident_m,teeth_recovered,time_in_water_min,water_temperature_°c,total_water_depth_m,water_visability_m,distance_to_shore_m,tidal_cycle,wind_condition,weather_condition,air_temperature_°c,personal_protective_device
12,1920,injured,qld,howick island,island open ocean,unknown,unknown,-1.0,unknown,provoked,1.0,fishing,unknown,unknown,fishing,unknown,bit leg,unknown,unknown,leg,minor lacerations,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
12,1920,injured,nsw,lismore - wilsons river,river,bull shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,unknown,unknown,bit leg,unknown,unknown,leg,minor lacerations,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
10,1921,injured,qld,hinchinbrook island,coastal,tiger shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,provoked,1.0,snorkelling,y,unknown,unknown,unknown,bit victim on arm,unknown,unknown,arm,major lacerations,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
10,1921,fatal,qld,"cairns, elford reef (26 miles east)",ocean/pelagic,tiger shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,unknown,below,bit victim on leg,unknown,unknown,leg,major lacerations,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,0.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
11,1921,fatal,qld,"brisbane river, bulimba beach",river,bull shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,unknown,unknown,bit another person first,n,unknown,other: body not recovered,unknown,male,8.0,unknown,unknown,unknown,unknown,1.0,-1.0,-1.0,1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
11,1921,injured,qld,"brisbane river, bulimba beach",river,bull shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,unknown,unknown,bit victim on body,unknown,unknown,"leg, pelvic region",minor lacerations,male,-1.0,unknown,unknown,punched and kicked shark,unknown,1.0,-1.0,-1.0,1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
12,1921,injured,qld,"rockhampton, fitzroy river",river,bull shark,"shark behaviour, geographical location",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,unknown,unknown,bit victim on torso,unknown,unknown,torso,minor lacerations,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
1,1922,injured,nsw,"newcastle, stockton beach",coastal,white shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,unknown,behind,bit victim on leg,n,unknown,thigh,minor lacerations,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,22.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
1,1922,fatal,qld,"townsville, ross creek",estuary/harbour,bull shark,"shark behaviour, geographical location",-1.0,unknown,unprovoked,4.0,swimming,unknown,unknown,"swimming, other sealife (shark/s)",unknown,one shark bit the victim,n,unknown,unknown,major lacerations,male,54.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,0.0,unknown,1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
2,1922,fatal,nsw,"sydney, coogee beach",coastal,white shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,"swimming, other sealife (shark/s)",unknown,bumped victim with nose,n,unknown,arm,major lacerations,male,19.0,unknown,unknown,hit shark with arms,unknown,-1.0,-1.0,1530.0,0.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
3,1922,fatal,nsw,"sydney, coogee beach",coastal,white shark,"bite analysis, shark behaviour, geographical location",2.5,witness/victim,unprovoked,1.0,swimming,unknown,unknown,"swimming, other sealife (shark/s)",unknown,bit victim on hand,y,unknown,"hand, torso",major lacerations,male,21.0,unknown,unknown,hit shark,unknown,-1.0,-1.0,1100.0,2.5,unknown,-1.0,21.0,1.0,-1.0,40.0,unknown,unknown,unknown,-1.0,unknown
12,1922,fatal,qld,"hervey bay, pialba",coastal,tiger shark,"bite analysis, shark behaviour, geographical location",3.0,witness/victim,unprovoked,1.0,swimming,unknown,unknown,swimming,unknown,bit victim on body,n,unknown,torso,major lacerations,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
1,1923,fatal,wa,"perth, swan river, claremont",river,bull shark,"bite analysis, shark behaviour",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,unknown,unknown,bit victim on leg,n,unknown,thigh,major lacerations,male,13.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,0.6,unknown,10.0,-1.0,0.5,-1.0,7.0,unknown,unknown,unknown,-1.0,unknown
1,1923,uninjured,nsw,"newcaste, merewether beach",coastal,white shark,"shark behaviour, geographical location",3.2,unknown,provoked,1.0,swimming,unknown,unknown,swimming,unknown,swam towards victim,unknown,unknown,other: uninjured,unknown,male,-1.0,unknown,unknown,splashed water,unknown,-1.0,-1.0,-1.0,-1.0,unknown,2.0,-1.0,-1.0,-1.0,200.0,unknown,unknown,unknown,-1.0,unknown
3,1923,injured,qld,"townsville, ross creek",estuary/harbour,bull shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,swimming,unknown,bit legs,unknown,unknown,leg,minor lacerations,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
5,1923,fatal,qld,townsville area (gbr),ocean/pelagic,tiger shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,provoked,1.0,snorkelling,y,unknown,unknown,unknown,bit victim on torso,unknown,unknown,torso,major lacerations,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
5,1923,injured,wa,"geraldton, southgate",coastal,wobbegong,"bite analysis, shark behaviour, geographical location",-1.0,unknown,provoked,1.0,fishing,unknown,unknown,fishing,unknown,bit victim on foot,unknown,unknown,foot,other: teeth marks,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
6,1923,injured,qld,townsville area (gbr),ocean/pelagic,tiger shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,provoked,1.0,snorkelling,y,unknown,unknown,unknown,unknown,unknown,unknown,unknown,major lacerations,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,0.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
6,1923,fatal,nsw,"wollongong, bellambi",coastal,white shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,3.0,swimming,unknown,unknown,fishing,unknown,bit victim on body,y,unknown,other: body not recovered,unknown,male,50.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,30.0,-1.0,-1.0,-1.0,2000.0,unknown,unknown,unknown,-1.0,unknown
10,1923,injured,qld,"torres strait, unknown location",island open ocean,tiger shark,"bite analysis, shark behaviour",-1.0,unknown,provoked,-1.0,snorkelling,y,unknown,unknown,unknown,unknown,n,unknown,arm,major lacerations,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
11,1923,fatal,wa,"port headland, condon creek",coastal,tiger shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,provoked,-1.0,unknown,y,unknown,unknown,unknown,unknown,n,unknown,other: body not recovered,major lacerations,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
11,1923,fatal,wa,"port headland, condon creek",coastal,tiger shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,provoked,-1.0,unknown,y,unknown,unknown,unknown,unknown,n,unknown,other: half of body recovered,major lacerations,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
12,1923,injured,nsw,"tweed river, murwillumbah",river,bull shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,unknown,unknown,bit victim on leg,unknown,unknown,leg,minor lacerations,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
1,1924,fatal,nsw,"sydney harbour, parramatta river, camellia",river,bull shark,"bite analysis, shark behaviour, geographical location",3.2,witness/victim,unprovoked,1.0,swimming,unknown,unknown,swimming,unknown,bit victim on body,n,unknown,"arm, torso, foot",major lacerations,male,-1.0,unknown,unknown,hit shark with right hand,unknown,-1.0,-1.0,1600.0,1.0,unknown,2.0,23.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
2,1924,injured,wa,bunbury,coastal,wobbegong,"bite analysis, shark behaviour, geographical location",0.914634146341463,other: media report,unprovoked,1.0,swimming,unknown,unknown,unknown,unknown,bit victim on foot,unknown,unknown,foot,minor lacerations,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
2,1924,injured,nsw,"sydney, bronte beach",coastal,white shark,"bite analysis, shark behaviour",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,unknown,unknown,bit victim on leg,n,unknown,"leg, foot",major lacerations,female,30.0,unknown,unknown,unknown,unknown,-1.0,-1.0,700.0,1.8,unknown,-1.0,23.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
4,1924,fatal,nsw,"kiama, blowhole",coastal,white shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,-1.0,swimming,unknown,unknown,fishing,unknown,unknown,n,unknown,unknown,major lacerations,male,20.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,0.0,unknown,1.0,19.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
10,1924,injured,vic,"port philip bay, port melbourne, town pier",coastal,white shark,"bite analysis, shark behaviour, geographical location",3.0,witness/victim,unprovoked,1.0,swimming,unknown,unknown,swimming,unknown,bit victim on leg,n,unknown,leg,major lacerations,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,0.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
3,1925,injured,nsw,"sydney, coogee beach",coastal,white shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,unknown,unknown,bit victim on leg,n,unknown,leg,major lacerations,male,16.0,unknown,unknown,unknown,unknown,-1.0,-1.0,1700.0,0.0,unknown,-1.0,22.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
3,1925,fatal,nsw,newcastle beach,coastal,white shark,"bite analysis, shark behaviour, geographical location",3.0,other: media report,unprovoked,1.0,swimming,unknown,unknown,snorkelling,unknown,bit victim on body,n,unknown,"arm, torso",major lacerations,male,16.0,unknown,unknown,unknown,unknown,-1.0,-1.0,1530.0,0.0,unknown,-1.0,22.0,-1.0,-1.0,220.0,unknown,moderate breeze,overcast,-1.0,unknown
11,1925,fatal,wa,"perth, cottesloe beach",coastal,tiger shark,direct observation,4.0,other: measured captured shark,unprovoked,1.0,swimming,unknown,unknown,unknown,unknown,bit victim on body,n,y,"torso, leg",major lacerations,male,55.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,0.0,unknown,-1.0,-1.0,8.0,-1.0,40.0,unknown,unknown,unknown,-1.0,unknown
3,1926,fatal,sa,"adelaide, brighton pier",coastal,white shark,"bite analysis, shark behaviour, geographical location",4.0,other: media report,unprovoked,1.0,swimming,unknown,unknown,unknown,unknown,bit victim on leg,n,unknown,thigh,major lacerations,female,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,1600.0,1.0,unknown,-1.0,-1.0,1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
10,1926,injured,nsw,"yamba, clarence river, maclean",river,bull shark,"shark behaviour, geographical location",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,unknown,unknown,bit victim,unknown,unknown,unknown,unknown,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,1600.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
11,1926,injured,qld,"torres strait, unknown location",island open ocean,tiger shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,provoked,-1.0,snorkelling,y,unknown,unknown,unknown,unknown,n,unknown,arm,minor lacerations,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
12,1926,fatal,qld,palm island,island open ocean,tiger shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,provoked,1.0,snorkelling,y,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
1,1927,injured,qld,"torres strait, thursday island",island open ocean,tiger shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,provoked,-1.0,snorkelling,y,unknown,unknown,unknown,unknown,unknown,unknown,"torso, shoulder",minor lacerations,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
1,1927,fatal,nsw,"sydney, grays point, port hacking",river,tiger shark,"bite analysis, shark behaviour, geographical location",4.0,other: media report,unprovoked,1.0,swimming,unknown,unknown,swimming,unknown,bit victim on body,n,unknown,thigh,major lacerations,male,15.0,unknown,unknown,unknown,unknown,-1.0,8.0,1130.0,-1.0,unknown,-1.0,20.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
2,1927,uninjured,qld,brisbane river,river,bull shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,unknown,behind,attempted to bit legs,unknown,unknown,other: uninjured,unknown,male,-1.0,unknown,unknown,kicked at shark on two occasions,unknown,1.0,-1.0,-1.0,0.0,unknown,1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
3,1927,injured,nsw,"newcaste, merewether beach",coastal,white shark,"bite analysis, shark behaviour, geographical location",3.0,witness/victim,unprovoked,1.0,swimming,unknown,unknown,swimming,other: side,bit victim on body,y,unknown,"hand, pelvic region",major lacerations,male,17.0,unknown,unknown,pushed at shark,unknown,-1.0,-1.0,1500.0,-1.0,unknown,-1.0,22.0,-1.0,-1.0,50.0,unknown,unknown,unknown,-1.0,unknown
4,1927,injured,qld,"torres strait, unknown location",island open ocean,tiger shark,"bite analysis, shark behaviour, geographical location",1.8,other: media report,provoked,1.0,unknown,y,unknown,unknown,unknown,bit victim on leg,n,unknown,leg,minor lacerations,male,-1.0,unknown,unknown,pushed fingers in sharks eyes,unknown,-1.0,-1.0,-1.0,1.0,unknown,-1.0,-1.0,1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
4,1927,injured,qld,"torres strait, unknown location",island open ocean,tiger shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,provoked,-1.0,snorkelling,y,unknown,unknown,unknown,unknown,n,unknown,leg,major lacerations,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
5,1927,fatal,qld,cairns (near),coastal,tiger shark,"bite analysis, shark behaviour",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,unknown,unknown,bit victim on leg,n,unknown,leg,major lacerations,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,1.0,unknown,-1.0,-1.0,1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
7,1927,uninjured,wa,broome (area),coastal,tiger shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,provoked,1.0,diving,y,unknown,unknown,unknown,unknown,unknown,unknown,other: uninjured,unknown,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
1,1928,fatal,qld,"torres strait, deliverance island",island open ocean,tiger shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,provoked,-1.0,unknown,unknown,unknown,bait and/or berley,unknown,unknown,unknown,unknown,"arm, leg",major lacerations,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
2,1928,fatal,qld,"barrow point, 100km north of cooktown",island open ocean,tiger shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,provoked,-1.0,snorkelling,y,unknown,unknown,unknown,unknown,n,unknown,unknown,unknown,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
3,1928,injured,qld,bowen (gbr),coastal,tiger shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,provoked,1.0,snorkelling,y,unknown,unknown,unknown,bit victim on hip,unknown,unknown,torso,minor lacerations,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,0.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
4,1928,injured,qld,"brisbane river, graceville",river,bull shark,"bite analysis, shark behaviour, geographical location",1.2,unknown,unprovoked,1.0,swimming,unknown,unknown,swimming,unknown,bit victim on leg,unknown,unknown,leg,minor lacerations,male,15.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,0.0,unknown,-1.0,-1.0,-1.0,-1.0,20.0,unknown,unknown,unknown,-1.0,unknown
4,1928,injured,nsw,"sydney, north bondi beach",coastal,white shark,"bite analysis, shark behaviour",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,unknown,unknown,bit victim on leg,n,unknown,calf,major lacerations,male,19.0,unknown,unknown,hit shark with fist,unknown,-1.0,-1.0,1600.0,0.0,unknown,-1.0,20.0,-1.0,-1.0,100.0,unknown,unknown,unknown,-1.0,unknown
4,1928,fatal,nsw,"newcastle, bar beach",coastal,white shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,swimming,unknown,bit victim on body,n,unknown,"hand, leg, torso",major lacerations,male,27.0,unknown,unknown,punched and kicked shark,unknown,2.0,-1.0,1800.0,1.0,unknown,2.0,21.0,-1.0,-1.0,50.0,unknown,unknown,unknown,-1.0,unknown
7,1928,injured,qld,"torres strait, unknown location",island open ocean,tiger shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,-1.0,swimming,unknown,unknown,unknown,unknown,unknown,n,unknown,"arm, torso",major lacerations,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
12,1928,injured,qld,"torres strait, unknown location",island open ocean,tiger shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,provoked,1.0,snorkelling,y,unknown,unknown,unknown,bit hand,n,unknown,"arm, hand",major lacerations,male,-1.0,unknown,unknown,hit shark with hand,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
1,1929,fatal,qld,"magnetic island, alma bay",coastal,tiger shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,swimming,unknown,bit victim on arm,n,unknown,"arm, torso",major lacerations,male,18.0,unknown,unknown,unknown,unknown,-1.0,-1.0,1730.0,0.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
1,1929,injured,sa,ardrossan beach,coastal,wobbegong,"bite analysis, shark behaviour, geographical location",-1.0,unknown,provoked,1.0,fishing,y,catch,"catch, fishing",unknown,bit victim on leg,y,y,leg,other: teeth marks,male,-1.0,unknown,unknown,killed shark to get it off leg,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
1,1929,fatal,nsw,"sydney, bondi beach",coastal,white shark,"shark behaviour, geographical location",4.9,other: media report,unprovoked,1.0,swimming,unknown,unknown,swimming,unknown,bit victim on leg,n,unknown,thigh,major lacerations,male,14.0,unknown,unknown,unknown,unknown,-1.0,10.0,1830.0,0.0,unknown,-1.0,23.0,-1.0,-1.0,40.0,unknown,unknown,unknown,-1.0,unknown
2,1929,injured,nsw,jervis bay,coastal,wobbegong,"bite analysis, shark behaviour, geographical location",-1.0,unknown,provoked,1.0,snorkelling,unknown,other animal in area,"snorkelling, other sealife (dolphins)",unknown,bit victim on foot,unknown,unknown,foot,minor lacerations,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
2,1929,fatal,nsw,"sydney, maroubra beach",coastal,white shark,unknown,-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,"swimming, dead animal nearby (whale)",unknown,bit victim on leg,n,unknown,"leg, hand",major lacerations,male,19.0,unknown,unknown,hit shark with hand,unknown,-1.0,3.0,1600.0,0.0,unknown,-1.0,22.0,-1.0,-1.0,75.0,high,unknown,overcast,-1.0,unknown
2,1929,fatal,nsw,"sydney, bondi beach",coastal,white shark,"bite analysis, shark behaviour",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,unknown,unknown,bit victim on leg,n,unknown,thigh,major lacerations,male,39.0,unknown,unknown,hit shark with fist,unknown,-1.0,-1.0,1600.0,-1.0,unknown,-1.0,22.0,4.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
2,1929,uninjured,sa,"adelaide, glenelg beach",coastal,white shark,"shark behaviour, geographical location",3.6,other: media report,unprovoked,1.0,unmotorised boating,unknown,vessel,unknown,unknown,bumped canoe with nose,unknown,unknown,other: uninjured,unknown,female,-1.0,unknown,unknown,hit shark with paddle,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
3,1929,injured,qld,bowen (gbr),island open ocean,unknown,unknown,-1.0,unknown,provoked,1.0,snorkelling,y,unknown,unknown,unknown,unknown,unknown,unknown,unknown,major lacerations,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
3,1929,injured,sa,ardrossan beach,coastal,wobbegong,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,1.0,unmotorised boating,unknown,unknown,boating,unknown,bit victim on foot,unknown,unknown,leg,unknown,male,12.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
3,1929,injured,sa,ardrossan beach,coastal,wobbegong,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,1.0,unmotorised boating,unknown,unknown,boating,unknown,bit victim on leg,unknown,unknown,foot,unknown,male,12.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
3,1929,fatal,qld,"torres strait, dauan island",island open ocean,tiger shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,-1.0,swimming,unknown,unknown,unknown,unknown,unknown,n,unknown,unknown,unknown,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
4,1929,injured,qld,mackay,island open ocean,tiger shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,provoked,1.0,snorkelling,y,unknown,unknown,unknown,bit victim on hand,unknown,unknown,"arm, hand",major lacerations,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,80000.0,unknown,unknown,unknown,-1.0,unknown
4,1929,injured,qld,"bribie passage, pumicestone channel",coastal,bull shark,"bite analysis, shark behaviour, geographical location",1.5,unknown,provoked,1.0,fishing,y,unknown,fishing,unknown,bit victim on leg,y,y,leg,major lacerations,male,21.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
4,1929,fatal,qld,"torres strait, badu island",island open ocean,tiger shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,-1.0,swimming,unknown,unknown,swimming,unknown,unknown,n,unknown,thigh,major lacerations,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,1200.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
5,1929,injured,qld,"torres strait, poruma (coconut) island",island open ocean,tiger shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,provoked,1.0,snorkelling,y,unknown,unknown,unknown,bit victim mutliple times,n,unknown,"leg, pelvic region",major lacerations,male,-1.0,unknown,unknown,hit shark several times,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
